helység 1	helység2	táv	útdíj	fogyasztás
1	2	21	42	0,770
1	833	16	48	1,320
2	3	5	10	1,480
2	236	22	44	1,350
3	4	4	8	1,120
3	349	3	9	0,860
4	5	25	75	1,430
4	807	25	50	0,880
5	6	6	18	1,330
5	824	11	11	1,170
6	7	23	46	0,750
6	943	25	25	1,290
7	8	4	4	0,820
7	518	3	9	0,850
8	9	19	19	1,390
8	966	6	12	1,190
9	10	23	46	0,950
9	964	9	27	0,760
10	11	23	23	1,300
10	851	19	38	1,380
11	12	13	39	0,780
11	769	17	34	1,340
12	13	19	38	0,950
12	764	11	33	1,130
13	14	4	8	0,940
13	84	14	42	1,090
14	15	10	30	1,100
14	730	18	54	0,990
15	16	7	7	1,180
15	373	18	54	1,250
16	17	10	30	1,140
16	936	15	15	0,970
17	18	20	60	1,230
17	155	19	38	0,970
18	19	17	51	0,830
18	898	17	17	1,370
19	20	19	57	1,060
19	509	15	15	1,240
20	21	18	18	1,330
20	84	17	51	1,010
21	22	18	18	0,800
21	79	5	5	0,950
22	23	1	2	1,080
22	725	20	20	1,310
23	24	15	45	1,400
23	115	24	24	1,170
24	25	24	72	1,290
24	231	14	42	1,380
25	26	7	7	0,930
25	128	4	8	1,220
26	27	25	25	1,440
26	825	1	1	0,820
27	28	23	23	0,900
27	265	23	69	1,160
28	29	2	4	1,380
28	835	3	6	1,150
29	30	11	22	0,800
29	880	12	36	1,410
30	31	16	16	1,430
30	93	22	66	1,500
31	32	9	18	1,330
31	250	5	5	1,020
32	33	5	15	0,910
32	70	4	4	0,760
33	34	8	8	1,060
33	422	24	72	0,820
34	35	10	30	0,870
34	386	2	2	0,870
35	36	4	8	1,250
35	875	6	18	0,780
36	37	7	7	1,370
36	280	23	46	0,970
37	38	1	2	1,350
37	46	16	32	1,490
38	39	9	27	0,800
38	680	12	24	1,210
39	40	14	28	0,820
39	514	7	14	1,340
40	41	19	19	1,430
40	699	23	23	0,820
41	42	24	24	0,780
41	351	5	10	1,190
42	43	8	16	1,460
42	59	13	39	1,410
43	44	7	7	1,020
43	230	20	20	1,330
44	45	17	17	1,380
44	256	9	18	0,830
45	46	11	33	1,040
45	251	19	57	1,490
46	47	13	13	0,950
46	313	15	45	0,960
47	48	13	39	0,980
47	754	23	23	0,920
48	49	17	17	1,150
48	948	21	63	1,340
49	50	21	63	1,460
49	514	5	5	1,340
50	51	18	18	0,990
50	552	13	26	1,500
51	52	24	72	1,050
51	932	7	14	1,140
52	53	4	12	1,270
52	264	4	8	0,990
53	54	10	10	1,450
53	224	12	12	0,770
54	55	3	6	0,760
54	829	17	51	1,270
55	56	1	3	1,160
55	855	24	24	1,130
56	57	7	21	1,090
56	276	1	1	1,300
57	58	12	36	0,830
57	151	8	8	0,950
58	59	20	20	1,350
58	913	25	25	0,750
59	60	11	22	1,440
59	323	24	72	1,440
60	61	19	19	1,220
60	461	13	39	1,330
61	62	17	51	1,300
61	180	12	36	1,100
62	63	21	42	0,940
62	912	11	11	1,180
63	64	12	24	0,800
63	371	8	8	1,130
64	65	18	36	1,340
64	65	6	6	1,350
65	66	19	57	1,460
65	483	23	23	1,360
66	67	21	63	1,370
66	244	18	18	0,970
67	68	23	46	0,920
67	707	16	48	0,820
68	69	21	63	1,450
68	909	3	9	0,870
69	70	18	18	0,800
69	858	12	12	0,880
70	71	23	23	0,950
70	684	6	12	1,370
71	72	22	66	0,760
71	997	20	60	0,900
72	73	21	63	1,350
72	652	12	24	1,250
73	74	4	12	0,780
73	651	5	5	1,470
74	75	8	8	0,790
74	462	6	6	0,910
75	76	21	42	0,870
75	298	25	25	0,980
76	77	15	30	0,990
76	368	1	2	1,200
77	78	17	34	1,340
77	643	20	40	1,210
78	79	19	19	0,790
78	501	23	69	1,020
79	80	7	14	1,080
79	645	10	20	1,260
80	81	7	7	1,380
80	996	24	24	0,770
81	82	18	18	1,130
81	224	21	21	0,820
82	83	23	23	1,080
82	594	1	3	1,470
83	84	9	9	1,240
83	503	17	51	1,340
84	85	22	44	1,020
84	822	18	36	0,810
85	86	2	2	0,960
85	163	20	60	0,780
86	87	5	10	1,280
86	640	8	8	1,240
87	88	12	12	1,350
87	656	15	30	1,240
88	89	25	75	1,400
88	343	23	23	0,930
89	90	2	6	1,020
89	229	3	3	1,180
90	91	17	51	0,750
90	280	16	32	1,210
91	92	21	21	1,440
91	359	22	44	0,930
92	93	4	12	1,080
92	439	14	28	1,070
93	94	13	39	1,480
93	580	21	63	0,920
94	95	15	30	1,290
94	512	23	69	1,480
95	96	9	9	1,040
95	815	20	40	0,990
96	97	25	75	1,230
96	499	8	24	0,750
97	98	8	24	1,500
97	529	8	8	1,190
98	99	19	19	0,990
98	858	23	46	1,470
99	100	20	40	0,820
99	350	2	4	0,970
100	101	17	51	0,890
100	563	25	25	1,360
101	102	24	24	1,480
101	933	23	69	1,030
102	103	8	24	0,980
102	903	21	42	1,440
103	104	18	18	0,960
103	924	3	6	1,500
104	105	9	9	0,860
104	518	16	16	1,200
105	106	10	20	0,870
105	299	13	39	1,470
106	107	18	36	1,230
106	273	21	21	1,410
107	108	9	9	1,230
107	696	8	16	0,940
108	109	10	20	1,160
108	227	18	18	1,070
109	110	13	13	0,870
109	489	20	40	0,980
110	111	9	27	0,990
110	963	6	6	0,930
111	112	21	21	1,130
111	922	10	30	1,180
112	113	22	44	0,860
112	489	21	42	1,330
113	114	14	28	0,970
113	661	25	75	0,980
114	115	6	12	1,100
114	289	20	40	1,030
115	116	8	24	0,990
115	441	18	54	0,850
116	117	14	28	1,260
116	782	4	12	0,910
117	118	25	75	0,770
117	595	16	48	1,440
118	119	11	33	1,040
118	839	13	13	0,940
119	120	3	9	1,430
119	486	15	15	0,790
120	121	2	6	0,810
120	449	24	24	1,000
121	122	12	12	1,140
121	706	18	36	0,990
122	123	3	3	1,260
122	919	21	21	0,980
123	124	4	12	0,900
123	590	9	18	1,300
124	125	20	40	1,260
124	532	18	18	0,920
125	126	18	18	1,440
125	388	21	21	1,160
126	127	9	27	1,170
126	519	1	3	1,320
127	128	24	48	1,390
127	566	11	11	1,350
128	129	16	48	1,280
128	893	25	25	1,440
129	130	19	38	1,040
129	842	19	19	0,780
130	131	1	3	1,460
130	879	22	44	1,220
131	132	16	16	1,030
131	267	15	30	1,140
132	133	7	7	1,470
132	147	18	36	1,240
133	134	2	6	1,200
133	737	17	17	0,910
134	135	21	42	0,760
134	366	4	8	1,390
135	136	12	24	1,380
135	849	15	15	1,500
136	137	24	72	1,070
136	909	4	12	1,500
137	138	22	22	1,420
137	408	9	27	1,140
138	139	19	19	1,420
138	852	22	22	1,480
139	140	1	1	0,870
139	485	25	50	1,140
140	141	1	2	1,040
140	979	1	3	1,080
141	142	2	2	1,360
141	825	7	21	1,220
142	143	17	51	1,270
142	509	14	14	1,400
143	144	18	18	1,370
143	500	15	30	1,380
144	145	13	39	1,490
144	675	25	75	1,450
145	146	15	15	0,810
145	331	12	24	1,010
146	147	6	18	1,100
146	389	6	12	0,930
147	148	12	36	1,080
147	762	16	32	1,100
148	149	15	15	1,470
148	302	20	20	0,810
149	150	16	16	0,960
149	994	15	15	1,400
150	151	20	60	0,760
150	667	9	9	1,400
151	152	25	25	1,360
151	546	23	69	1,490
152	153	16	16	0,900
152	870	16	48	0,840
153	154	2	6	1,200
153	270	2	6	0,970
154	155	15	45	0,900
154	972	8	24	1,030
155	156	16	32	1,060
155	880	3	6	0,930
156	157	23	23	0,850
156	357	8	16	0,780
157	158	25	25	0,840
157	928	16	48	1,260
158	159	8	24	0,900
158	683	14	42	0,930
159	160	13	26	0,960
159	289	14	14	1,390
160	161	1	3	1,430
160	213	15	15	0,750
161	162	9	9	1,210
161	763	17	17	0,880
162	163	11	22	1,020
162	390	24	72	1,070
163	164	13	13	1,060
163	930	4	8	1,420
164	165	7	7	1,360
164	354	20	60	0,990
165	166	16	32	0,980
165	735	3	3	1,090
